sku,name,category,stock,price,supplier,reorderPoint,dailySales,weeklySales,brand,leadTime,depot,image,riskLevel,stockoutIn,reorderQty
ELC-001,Samsung Galaxy S24 Ultra,Electronics,42,129999,Samsung India Pvt Ltd,40,4,28,Samsung,7,Mumbai Central Depot,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?w=400&h=400&fit=crop,High,10.5,120
ELC-002,Apple iPhone 15 Pro,Electronics,28,134900,Apple Authorized Distributor,65,5,35,Apple,10,Delhi North Depot,https://images.unsplash.com/photo-1695048133142-1a20484d2569?w=400&h=400&fit=crop,Critical,5.6,150
ELC-003,Sony WH-1000XM5 Headphones,Electronics,65,29990,Sony India Electronics,48,6,42,Sony,5,Pune West Depot,https://images.unsplash.com/photo-1618366712010-f4ae9c647dcb?w=400&h=400&fit=crop,Medium,10.8,180
ELC-004,Dell XPS 15 Laptop,Electronics,15,189990,Dell Technologies India,34,2,14,Dell,14,Bangalore Tech Depot,https://images.unsplash.com/photo-1593642632559-0c6d3fc62b89?w=400&h=400&fit=crop,Critical,7.5,60
ELC-005,LG 55 Inch OLED TV,Electronics,20,149990,LG Electronics India,26,2,14,LG,10,Hyderabad South Depot,https://images.unsplash.com/photo-1593784991095-a205069470b6?w=400&h=400&fit=crop,Critical,10.0,60
ELC-006,Canon EOS R6 Mark II Camera,Electronics,12,239990,Canon India Pvt Ltd,15,1,7,Canon,12,Chennai East Depot,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=400&h=400&fit=crop,Critical,12.0,30
ELC-007,Apple iPad Air 5th Gen,Electronics,38,59900,Apple Authorized Distributor,39,3,21,Apple,10,Mumbai Central Depot,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=400&h=400&fit=crop,High,12.7,90
ELC-008,JBL Flip 6 Bluetooth Speaker,Electronics,90,9999,Harman India Ltd,63,9,63,JBL,4,Delhi North Depot,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=400&h=400&fit=crop,Medium,10.0,270
CLT-001,Levi's 511 Slim Fit Jeans,Clothing,150,3999,Levi Strauss India,180,18,126,Levi's,7,Mumbai Central Depot,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400&h=400&fit=crop,High,8.3,540
CLT-002,Nike Air Max 270 Sneakers,Clothing,80,12995,Nike India Pvt Ltd,90,10,70,Nike,6,Bangalore Tech Depot,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&h=400&fit=crop,High,8.0,300
CLT-003,Adidas Ultraboost 22 Running Shoes,Clothing,60,14999,Adidas India Pvt Ltd,72,8,56,Adidas,6,Pune West Depot,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400&h=400&fit=crop,High,7.5,240
CLT-004,H&M Oversized Hoodie,Clothing,200,1799,H&M Hennes & Mauritz India,200,25,175,H&M,5,Delhi North Depot,https://images.unsplash.com/photo-1556821840-3a63f15732ce?w=400&h=400&fit=crop,High,8.0,750
CLT-005,Zara Formal Blazer,Clothing,45,5999,Zara India Retail,55,5,35,Zara,8,Hyderabad South Depot,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&h=400&fit=crop,High,9.0,150
CLT-006,Puma Sports T-Shirt,Clothing,300,999,Puma Sports India,210,30,210,Puma,4,Chennai East Depot,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&h=400&fit=crop,Medium,10.0,900
HMK-001,Prestige Induction Cooktop 2000W,Home & Kitchen,55,3499,TTK Prestige Ltd,45,5,35,Prestige,6,Mumbai Central Depot,https://images.unsplash.com/photo-1585515320310-259814833e62?w=400&h=400&fit=crop,High,11.0,150
HMK-002,Philips Air Fryer HD9252,Home & Kitchen,40,7995,Philips India Ltd,40,4,28,Philips,7,Bangalore Tech Depot,https://images.unsplash.com/photo-1639413069901-4dd271b9e4f5?w=400&h=400&fit=crop,High,10.0,120
HMK-003,Milton Thermosteel Flask 1L,Home & Kitchen,180,599,Milton Housewares India,120,20,140,Milton,3,Delhi North Depot,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=400&h=400&fit=crop,Medium,9.0,600
HMK-004,Bosch Front Load Washing Machine 7kg,Home & Kitchen,18,42990,Bosch Home Appliances India,30,2,14,Bosch,12,Pune West Depot,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400&h=400&fit=crop,Critical,9.0,60
HMK-005,Instant Pot Duo 6Qt Pressure Cooker,Home & Kitchen,30,8999,Instant Brands India,44,4,28,Instant Pot,8,Hyderabad South Depot,https://images.unsplash.com/photo-1585515320310-259814833e62?w=400&h=400&fit=crop,Critical,7.5,120
HMK-006,IKEA KALLAX Shelf Unit,Home & Kitchen,25,7990,IKEA India Pvt Ltd,39,3,21,IKEA,10,Chennai East Depot,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=400&h=400&fit=crop,Critical,8.3,90
BPC-001,Lakme Absolute Perfect Radiance Foundation,Beauty,120,699,HUL Lakme Cosmetics,105,15,105,Lakme,4,Mumbai Central Depot,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=400&h=400&fit=crop,High,8.0,450
BPC-002,Mamaearth Vitamin C Face Serum 30ml,Beauty,200,549,Honasa Consumer Ltd,132,22,154,Mamaearth,3,Delhi North Depot,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=400&h=400&fit=crop,Medium,9.1,660
BPC-003,Philips BT3231 Beard Trimmer,Beauty,75,1299,Philips India Ltd,64,8,56,Philips,5,Bangalore Tech Depot,https://images.unsplash.com/photo-1503951914875-452162b0f3f1?w=400&h=400&fit=crop,High,9.4,240
BPC-004,Dyson Supersonic Hair Dryer,Beauty,22,37900,Dyson India Pvt Ltd,26,2,14,Dyson,10,Pune West Depot,https://images.unsplash.com/photo-1590439471364-192aa70c0b53?w=400&h=400&fit=crop,High,11.0,60
BPC-005,WOW Skin Science Shampoo 300ml,Beauty,250,349,Body Cupid Pvt Ltd,168,28,196,WOW,3,Hyderabad South Depot,https://images.unsplash.com/photo-1526045612212-70caf35c14df?w=400&h=400&fit=crop,Medium,8.9,840
SPF-001,Decathlon Domyos Yoga Mat 8mm,Sports & Fitness,110,999,Decathlon Sports India,84,12,84,Domyos,4,Bangalore Tech Depot,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=400&h=400&fit=crop,Medium,9.2,360
SPF-002,Boldfit Protein Shaker 700ml,Sports & Fitness,300,299,Boldfit India,175,35,245,Boldfit,2,Mumbai Central Depot,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=400&h=400&fit=crop,Medium,8.6,1050
SPF-003,Kanger Adjustable Dumbbell Set 5-25kg,Sports & Fitness,30,12999,Kanger Fitness Equipment,33,3,21,Kanger,8,Delhi North Depot,https://images.unsplash.com/photo-1534438327276-14e5300c3a48?w=400&h=400&fit=crop,High,10.0,90
SPF-004,Nivia Football Size 5,Sports & Fitness,80,699,Nivia Sports Pvt Ltd,72,9,63,Nivia,5,Chennai East Depot,https://images.unsplash.com/photo-1516478177764-9fe5bd7e9717?w=400&h=400&fit=crop,High,8.9,270
SPF-005,Garmin Forerunner 255 Smartwatch,Sports & Fitness,18,32990,Garmin India Pvt Ltd,26,2,14,Garmin,10,Hyderabad South Depot,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400&h=400&fit=crop,Critical,9.0,60
BKS-001,Atomic Habits - James Clear,Books,400,499,Penguin Random House India,200,40,280,Penguin Books,2,Delhi North Depot,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=400&h=400&fit=crop,Medium,10.0,1200
BKS-002,Classmate 6-Subject Spiral Notebook,Books,500,199,ITC Classmate Stationery,275,55,385,Classmate,2,Mumbai Central Depot,https://images.unsplash.com/photo-1531346878377-a5be20888e57?w=400&h=400&fit=crop,Medium,9.1,1650
BKS-003,Parker Jotter Ballpoint Pen Set,Books,220,799,Parker Pen India,144,24,168,Parker,3,Bangalore Tech Depot,https://images.unsplash.com/photo-1583485088034-697b5bc54ccd?w=400&h=400&fit=crop,Medium,9.2,720
GRO-001,Tata Salt Lite Low Sodium 1kg,Grocery,600,29,Tata Consumer Products,400,80,560,Tata Salt,2,Mumbai Central Depot,https://images.unsplash.com/photo-1568702846914-96b305d2aaeb?w=400&h=400&fit=crop,Medium,7.5,2400
GRO-002,Amul Butter Unsalted 500g,Grocery,350,245,Gujarat Cooperative Milk Marketing,225,45,315,Amul,2,Pune West Depot,https://images.unsplash.com/photo-1589985270826-4b7bb135bc9d?w=400&h=400&fit=crop,Medium,7.8,1350
GRO-003,Nescafe Classic Instant Coffee 200g,Grocery,250,479,Nestle India Ltd,180,30,210,Nescafe,3,Delhi North Depot,https://images.unsplash.com/photo-1509785307050-d4066910ec1e?w=400&h=400&fit=crop,Medium,8.3,900
GRO-004,Daawat Basmati Rice Premium 5kg,Grocery,420,549,LT Foods Ltd,300,50,350,Daawat,3,Hyderabad South Depot,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400&h=400&fit=crop,Medium,8.4,1500
GRO-005,Britannia Good Day Cashew Cookies 600g,Grocery,500,85,Britannia Industries Ltd,325,65,455,Britannia,2,Chennai East Depot,https://images.unsplash.com/photo-1558961363-fa8fdf82db35?w=400&h=400&fit=crop,Medium,7.7,1950
GRO-006,Patanjali Cow Ghee 1L,Grocery,280,499,Patanjali Ayurved Ltd,210,35,245,Patanjali,3,Mumbai Central Depot,https://images.unsplash.com/photo-1607623814075-e51df1bdc82f?w=400&h=400&fit=crop,Medium,8.0,1050
TOY-001,LEGO City Police Station Set,Toys & Baby,35,6499,LEGO India Pvt Ltd,52,4,28,LEGO,10,Delhi North Depot,https://images.unsplash.com/photo-1587654780291-39c9404d746b?w=400&h=400&fit=crop,Critical,8.8,120
TOY-002,Funskool Monopoly Board Game,Toys & Baby,70,799,Funskool India Ltd,64,8,56,Funskool,5,Bangalore Tech Depot,https://images.unsplash.com/photo-1611996575749-79a3a250f948?w=400&h=400&fit=crop,High,8.8,240
TOY-003,R for Rabbit Convertible Baby Stroller,Toys & Baby,15,7999,SuperBaby India,30,2,14,R for Rabbit,12,Pune West Depot,https://images.unsplash.com/photo-1526234362653-3b75a0c07438?w=400&h=400&fit=crop,Critical,7.5,60
AUT-001,Bosch S4 Car Battery 55Ah,Automotive,28,5799,Bosch Automotive India,30,3,21,Bosch,7,Hyderabad South Depot,https://images.unsplash.com/photo-1625047509248-ec889cbff17f?w=400&h=400&fit=crop,High,9.3,90
AUT-002,3M Anti-Rust Car Spray 250ml,Automotive,130,399,3M India Ltd,98,14,98,3M,4,Chennai East Depot,https://images.unsplash.com/photo-1486262715619-67b85e0b08d3?w=400&h=400&fit=crop,Medium,9.3,420
AUT-003,Michelin Pilot Sport 4 Tyre 205/55R16,Automotive,20,9490,Michelin India Pvt Ltd,24,2,14,Michelin,9,Mumbai Central Depot,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=400&h=400&fit=crop,High,10.0,60
AUT-004,Amaron FreshPack Car Battery 65Ah,Automotive,22,6200,Amara Raja Batteries Ltd,20,2,14,Amaron,7,Delhi North Depot,https://images.unsplash.com/photo-1625047509248-ec889cbff17f?w=400&h=400&fit=crop,High,11.0,60
AUT-005,Castrol GTX 5W-40 Engine Oil 4L,Automotive,95,1799,Castrol India Ltd,70,10,70,Castrol,4,Bangalore Tech Depot,https://images.unsplash.com/photo-1493238792000-8113da705763?w=400&h=400&fit=crop,Medium,9.5,300
ELC-009,Logitech MX Master 3 Wireless Mouse,Electronics,55,8995,Logitech India Pvt Ltd,48,6,42,Logitech,5,Pune West Depot,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=400&h=400&fit=crop,High,9.2,180
SPF-006,Lifelong Treadmill LLTM09 Manual,Sports & Fitness,12,8499,Lifelong Online India,12,1,7,Lifelong,9,Mumbai Central Depot,https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=400&h=400&fit=crop,High,12.0,30
AUT-006,Vega Crux Helmet ISI Certified,Automotive,55,1299,Vega Auto Accessories Pvt Ltd,48,6,42,Vega,5,Pune West Depot,https://images.unsplash.com/photo-1558981806-ec527fa84c39?w=400&h=400&fit=crop,High,9.2,180
